time,Air Velocity (m/s),BGA He Percent (%),BGA Sound Speed (m/s),Fixed Distance (m),He Velocity (m/s),Measured Distance (m),Mixture Velocity (m/s),Percent He (%),Pressure (PSIG),Temperature (K)
2023-04-13 13:06:00.615,331,96.13064575195312,910.15625,0.800000011920929,973,0.30434027314186096,870.0787963867188,96.72074317932129,0.2824554443359375,295.3999938964844
2023-04-13 13:05:30.784,,96.17042541503906,911.0966186523438,,,0.30403932929039,870.9400024414062,96.75310254096985,0.2889213562011719,
2023-04-13 13:05:00.820,331,96.201171875,911.8200073242188,0.800000011920929,973,0.3036689758300781,872.002197265625,96.79286479949951,0.29538917541503906,295.3999938964844
2023-04-13 13:04:30.945,,96.23480987548828,912.6880493164062,,,0.303483784198761,872.5343017578125,96.81273102760315,0.30347251892089844,
2023-04-13 13:04:00.640,331,96.26953125,913.4838256835938,0.800000011920929,973,0.30319443345069885,873.3670043945312,96.84375524520874,0.3131732940673828,295.3999938964844
2023-04-13 13:03:30.798,,96.30244445800781,914.279541015625,,,0.3027777671813965,874.5689086914062,96.88836932182312,0.3196401596069336,
2023-04-13 13:03:00.871,331,96.33644104003906,915.1475219726562,0.800000011920929,973,0.30248841643333435,875.4054565429688,96.91931009292603,0.32772350311279297,295.3999938964844
2023-04-13 13:02:30.963,,96.37044525146484,915.9432373046875,,,0.3021990656852722,876.24365234375,96.95022702217102,0.33742427825927734,
2023-04-13 13:02:00.636,331,96.40263366699219,916.739013671875,0.800000011920929,973,0.30188655853271484,877.1507568359375,96.9835877418518,0.3471250534057617,295.3999938964844
2023-04-13 13:01:30.749,,96.43663024902344,917.5347290039062,,,0.3016319274902344,877.8912353515625,97.010737657547,0.3568258285522461,
2023-04-13 13:01:00.876,331,96.46846008300781,918.3304443359375,0.800000011920929,973,0.30135416984558105,878.7003784179688,97.04033136367798,0.36814308166503906,295.3999938964844
2023-04-13 13:00:30.966,,96.50028991699219,919.1261596679688,,,0.30108797550201416,879.4772338867188,97.06867337226868,0.37946033477783203,
2023-04-13 13:00:00.642,331,96.53356170654297,919.921875,0.800000011920929,973,0.30081018805503845,880.2893676757812,97.09821343421936,0.38916015625,295.3999938964844
2023-04-13 12:59:30.766,,96.56864929199219,920.8622436523438,,,0.300555557012558,881.03515625,97.12526798248291,0.4004783630371094,
2023-04-13 12:59:00.875,331,96.59071350097656,921.36865234375,0.800000011920929,973,0.3002777695655823,881.8502197265625,97.15476036071777,0.41179466247558594,295.3999938964844
2023-04-13 12:58:30.974,,96.62615966796875,922.2366943359375,,,0.3000231385231018,882.5986328125,97.1817672252655,0.4247293472290039,
2023-04-13 12:58:01.071,331,96.63736724853516,922.5260620117188,0.800000011920929,973,0.2997106611728668,883.5188598632812,97.21488356590271,0.43766307830810547,295.3999938964844
2023-04-13 12:57:30.678,,96.80265808105469,927.1557006835938,,,0.29945603013038635,884.2701416015625,97.2418487071991,0.45221424102783203,
